Word,LogOdds,Score,Category
allaa,3.309394628,3.0,positive
alha,3.309394628,3.0,positive
ammeen,3.358184792,3.0,positive
mashaallh,3.449156571,3.0,positive
jabadha,3.449156571,3.0,positive
eebbisu,3.449156571,3.0,positive
amen,5.489812087,3.0,positive
allah,5.76898347,3.0,positive
ameen,5.952017024,3.0,positive
masha,5.255304777,3.0,positive
jabadhu,3.427177664,3.0,positive
ele,3.404704808,3.0,positive
mashaalla,3.404704808,3.0,positive
jiradhu,2.952719684,3.0,positive
jzk,2.878611712,3.0,positive
mashaa,5.141976092,3.0,positive
sallaallahu,5.049860803,3.0,positive
jabaa,3.404704808,3.0,positive
nufi,2.878611712,3.0,positive
saallaallaahu,2.878611712,3.0,positive
ebbifamaa,2.878611712,3.0,positive
ebbisuu,2.878611712,3.0,positive
jabaadhu,4.732502963,3.0,positive
mashala,4.472545438,3.0,positive
maashaa,4.424536219,3.0,positive
wow,4.867539246,3.0,positive
waw,3.309394628,3.0,positive
ebifaami,3.086251077,3.0,positive
jiradhaa,3.086251077,3.0,positive
dheresuu,2.798569005,3.0,positive
alla,2.798569005,3.0,positive
ebbisu,2.798569005,3.0,positive
umuri,2.711557628,3.0,positive
wr,3.086251077,3.0,positive
jabaadha,2.798569005,3.0,positive
aleyhi,2.798569005,3.0,positive
eebbifamaa,2.798569005,3.0,positive
jabadhaa,2.75600939,3.0,positive
mashallaah,2.952719684,3.0,positive
jirenya,2.952719684,3.0,positive
galatoomii,2.952719684,3.0,positive
ergamoota,2.952719684,3.0,positive
saw,2.952719684,3.0,positive
ustazaa,3.021712556,3.0,positive
dhageessisu,3.021712556,3.0,positive
bareedaa,2.711557628,3.0,positive
waasallam,2.711557628,3.0,positive
faaruu,2.711557628,3.0,positive
dheeraa,2.878611712,3.0,positive
ulfaadhu,2.711557628,3.0,positive
sirba,2.878611712,3.0,positive
dhagesisu,2.798569005,3.0,positive
waaqayyo,2.825967979,3.0,positive
siyaa,2.878611712,3.0,positive
jabadhuu,3.951248514,3.0,positive
waaqayyoo,3.101755264,3.0,positive
jiradhuu,3.106870364,3.0,positive
waqayyoo,3.106870364,3.0,positive
tolaa,3.117022736,3.0,positive
ustaza,3.146875699,3.0,positive
mashaallaha,3.204034113,3.0,positive
ustaaz,3.204034113,3.0,positive
dhagesisuu,3.204034113,3.0,positive
qaxalee,3.897181293,3.0,positive
wb,3.086251077,3.0,positive
mashallh,3.021712556,3.0,positive
galatooma,3.021712556,3.0,positive
cimaadha,3.021712556,3.0,positive
eebbisuu,3.021712556,3.0,positive
mashaallah,4.356713623,3.0,positive
ebbifami,3.924580267,3.0,positive
eebbifami,3.840022879,3.0,positive
mashalaa,3.897181293,3.0,positive
jiraadhu,2.798569005,3.0,positive
raayyaa,2.798569005,3.0,positive
maashaalla,2.798569005,3.0,positive
ustaaza,2.798569005,3.0,positive
tabarakallah,2.798569005,3.0,positive
maashaallah,2.798569005,3.0,positive
umrii,3.217827435,3.0,positive
galatoomaa,3.491716185,3.0,positive
mashalla,3.53253818,3.0,positive
jabaadhaa,3.645866865,3.0,positive
ebifami,3.680958185,3.0,positive
allaah,3.731389038,3.0,positive
maasha,3.747649559,3.0,positive
