Comment_ID,Text,Sentiment
1,"Kanneen Online barachuu barbaaddan lakkoobsa kanaan bilbiluu dandeessu 0942412500 akkasumas kanneeen biyya keessa hin jirre Whatsapp ykn telegram'n dubbisu dandeessu. 
YouTube @Bel_Academy",Neutral
2,"Dhugaa dubbachuuf namin kun nama cimaadha, Waaqayyoo si haa eebbisu. Jabaadhuu.",Positive
3,Jechoonni Inni fayyadamu iyyuu hin quufamu ❤namoonni akkasii biyya keenyaaf bu'aa guddaadha,Positive
4,Ebbifammaa♥️❤️,Positive
5,Namoota Jechootaa keen jijiiramee keessa ani tokko! thank you boy!,Positive
6,Edaa jabaan jiraayii dhalootaaa keenyaa keessaa qaxaleeeko jabaadhuu dhugaaa,Positive
7,Wow eebbifami ❤❤❤,Positive
8,Itti caabsi garaa na boqochiftee dhirooo❤❤❤❤❤❤❤❤,Positive
9,Wonderful! Jiraadhu dhugaa,Positive
10,"Mucaan kun dhugumaan jireenya koon guutummaatti Wal fakkaata kun ajaa,iba!❤❤❤❤❤❤❤",Positive
11,Ofiikoo ofaan qaana'e,Negative
12,Jabbaa namaa jirradhuu❤❤❤❤,Positive
13,Eessa akkan jiru hardhan of arge beektotaafi motivation baayyee ilaala garuu Afaan oromoo ilaalee hin beeku hardha garuu Afaan oromoottin yeroo jalqabaan ilaale wantoota baay'ees irraa baraadheera mucaan kun anaaf adda! Waaqayyoo yoo aala naaf mijeesse karaa isaa barnoota egaluun qaba. Namoota waggaa 4-5 university'ti yeroo isaani guban irraa video mucaa kana barnoota gudda nuuf ta'a jedheen yaada. Ani nama baratees miti biyya Ambarran jira isa dhaloonni mana baruumsatti baratan caala jireenyi biyya hormaafi waliitti dhufeenyi namoota narra adda tahaan waliin dabarse barnootaa gaariif Degree dhaloonni baatee deemu caala naaf ta'ee jira. Garuu dandeetti wayiitu keessa koo keessa jira basee muldhisuu hin dandeenye sun immoo bakka ani jiruufi jireenya ani keessa jirutu nadangeesse gaaf tokko garuu baasee muldhisa. I can do it I'm sure. Ani barnoota koo kuta torbattiin addaan kute garuu yeroon warra degree qaban bukkee qabee of ilaalu anatu caala. dhugaa dubbachuuf ijjoolleen  oromoo university irraa Eebifamanii አማርኛ Dubbisuu yookiin barreessuu kan hin dandeenye bayyeetu jiru kan biraa haa hafuu Afaan oromoo qubee guutee kan hin barreesine baayyee tu jiru. Kun maaliif ta'e? Ani garuu baraachuuf fedhan qaba umuriin barnoota hin dangessu umuriin koos barnootaf hin darbine I'm 26 years old i can learn. Namoonni comment koo dubbistan like godha. ❤️,Positive
14,Dhugaa rabii umurii kuma nuu jiradhuu naman akka ketii Kun hin jiraa jedhee yaddee hin bekuu   jabba koo nuu jabadhuu  marsaa lamafa hotto itti nuu dabaltee garidhaa  ebifamiii jabba koo akka dhufaa kotii wantaa bayyeen sirra baradhee   ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
15,Ammas waaqayyo sammuukee siif haa banu obboleessako,Positive
16,Maashaa allah wollahi nama akka kiyya argadhe jira Alh Yaa Rabbi Kiyya,Positive
17,Good akkanatti jabaachuu qabna Saba keenyaaf,Positive
18,Baayyeen si ajaayibsiifadhe dhugaa baayyees sirraa baradheera jabaadhu,Positive
19,Dhugaa Addunyaa bira kessan galee nama akkanatti ogumman guute nuuf kenuu keettif galata kee waaqayyo koo Ebiifamii dhugaa  mucaan anni godhadhuus kan akka ketti ogessa akka naaf ta'uu hawii kotii dhugaa ebiifamii yeroo namni lagaf gandan waal qoduu keessatti sii qabachuun keenyaa ebba guudadha❤❤❤❤❤❤❤❤❤❤❤,Positive
20,Dhugaa waqayoo siyaa ebbisuu barumsaa guddaa nufii dabarsitee,Positive
21,Wowow  jabaa namaa dhugaa atii bagumaa kenyaa ta'ee❤❤❤❤❤❤,Positive
22,Kan akanaa kunii mottummaa ta'uu qaba dhugaa  nama baratee jechuun isaa kana nama cimaa waqayyo umurii dherraa sifaa kenuu,Positive
