Comment_ID,Text,Sentiment,label
6197,Gidduudhaanimmoo aara galfanneem ati bananaan,Neutral,1
5949,Dhamaatuu keessan kana namuma tokkittiif jettanii Biyya urguftanka.,Negative,0
4532,Maashaa allah maashaa allah maashaa allah habibii koo qaalii fii gaarii namaa baga jraatte,Positive,2
3716,mashaa alaàh,Positive,2
8255,As wr wb baarsiisaa Ann amuumaan fudhee qursiin nyaadhaa akamittii bafataan kkķķkkkkk,Neutral,1
1422,Hojii addatti,Positive,2
2971,ebbifamii,Positive,2
2312,Gondar dhaqin jedheem ani,Negative,0
7152,Hi dr namnni erga sex goodheen booda post phill erga fayadame periodin isa Yoo Xiqqoo Xiqqoo duwwa mullatee bade ulfahera jechu ni dandeenga ? Guyya sadiif dhiga bayye osoon tanne kan akka gurachaafi dhigaan maka Yoo tahe ?? Pls naaf bareessi,Neutral,1
4656,Ustaaz keenyaa rabbiin Umrii keessaan nuufi dheerresuu insha Allaah ❣❣♥️♥️♥️,Positive,2
5321,"Hidhaa gudichaaf Waan qabnuu fixanee Gaaruu adhaa lakkoftu ibsaa manaa keenatti nuu galchaa jecha Ergaa balbaala wajjira dedebi'uu jalqabnee wogaa 4 gutinee 😭Ajaa'iba biyyaa keenaa keessaatti, magaala giddutti, ollaa kee irraa addaatti Dukkana Keessaa bulluu irraa Maaltu caalaa Du'aa yoo ta'ee maalee",Negative,0
9251,biro akkata vidio telegramara.ittin.busaan,Neutral,1
8485,@Jawar_Mohammed Jabadhu morma Abbasha qabdeta goota koo itti hin lafin 🌏,Positive,2
8323,Ethyopiya keessatti hoo dalagaa,Neutral,1
8409,Dhugaa mo,Neutral,1
8869,Warri Amboo karaa keessaa na qunnamaa waantota barbaachisanis akkan siniif egru yoo barbaaddan,Neutral,1
5492,"Afuuftuu biyyii abbaa qaba. Kun Naannoo  Oromiyaa, Godina Jimmaa Aanaa Oomoo Naaddaa Magaalaa Asandaaboodha malee Yamanii miti.",Negative,0
6558,"Kana waan akka bakakkaa kana ""isaaf baga""Jechuu malee jechi hin jiru.",Negative,0
8204,Kijibaa,Negative,0
3629,mashaalla mashaalla ♥️❤️ustaza kenna rabbii umrii isin ha dheressu ❤️rabbii jartii salihaa isinii kenne ilmaan akka kessanii kanaa isini ha kennu,Positive,2
8392,Ninisobinaa silumaa namangaluu wanitati jetuu,Negative,0
3617,pelse guttuu issaa,Positive,2
8487,@Jawar_Mohammed Kuni gama kamiinu waan dagatamu hin qabne,Positive,2
9716,Kenenus maloo naf himii lakk ittiin galama.ee cufaa dhaa bafachuus hin danda.uu Anna mittii kana bafatee maqaan koos dogogoraa qabaa akkaamiin sireefadhaa maloo kenenus,Neutral,1
8590,Lakkofsotaa bilbilaa mana maxxansaa nuf ergaa mee,Neutral,1
2268,jimaakottuu,Neutral,1
6941,Miidiyaa bitamtuu misooma mormuuf iyyama maraatuu,Negative,0
4669,Maashaa Allah tabarakallah rabbii akkumaa nuu isin jaallannuu kanaa olittii isiin haa jallatuu,Positive,2
2075,Qubeedhumallee yoo sirreeffatte maarree? silaa/erga hawwitee!,Negative,0
9036,obolet too lokeshin akamitii erganii naf himee mee,Neutral,1
5856,Wa'ejawaarkanadhiisamenuga'era,Negative,0
3159,Tiktokiin hoo garbasaa nugodhatee jira 14 iyyuu qaba kan tiktokii,Negative,0
9894,email bade akkamitti yaadachuu danda'a,Neutral,1
3575,ammaa achii diraamaa kanaa hin irrarruu,Positive,2
8867,Qoyyii maafi arfatu baarana,Neutral,1
9232,akat fidon nmaa bir gahu godhuf nuhima,Neutral,1
6172,Maskuu akkami,Negative,0
6129,amma osoo dhokattee sii wayya ,Negative,0
5803,konkolattoota heddu gara benishangulitti guura turan ijaan agarre jirra,Neutral,1
7380,"Kan Koo gaaffiin ,Dubartiin tokko tokko erga ulfooftee booda hamma deessutti nagaa hin qabdu .baay'ee dhukkubsatti.kun maaliif ta'uu danda'a Dr?",Neutral,1
6581,"Kan keenya maqaa meeshalee baree meeshicha bituufii hamilee dhabee.!

Ayii ifoyita",Negative,0
5448,Olbannee Gadbanne jedhe Abbaan lataa,Negative,0
1774,Durbii durbummaa hin qabneemoo hamilee maalin herummaa yadii isaayuu digiris dingilis mana jirenyaa konkolaataa hin qabduu ecii maal kun,Negative,0
1858,Shamarraan qofa jechuun keeti maaliif??? dhiirotaaf hin barbaachisu jechuun keeti maaliif???,Neutral,1
9068,video sagale walin warabame balese gadhisuf,Neutral,1
9277,samsingin malif birri dafeefixaa yero data bante,Neutral,1
5628,Uummaan Aanaa Oomoo Naaddaa oduu diinaattiif Guraa kennee hin beekuu,Negative,0
9267,maaf save hin ta'uu vidion kee,Negative,0
1875,"Siilla dhaalaa arguuyuu hinfeedhu maali sidhukuubaa oromoo n safuu bekaa kun malii qamaa ifii kessa laltee kan midiyaaraa kessuu  fokkodha ,",Negative,0
379,Dhiraa qabenyaan duromee mitti dhiraa samunii durimee naf kenii yaa waqqayyo dhalotaa sii bodeef fakenyaa saa godhuu waqqayyo ❤❤❤❤❤❤❤,Positive,2
9632,lakkofisa bilbilii ke ergii mee Mal oo,Neutral,1
4372,Waqayyoo sagale jirenyaa sii yaa dhagechisu ebifamuu gudaa galatomi uuuuuf,Positive,2
9387,Video Yoon warabuu sagalee kiyyaa hin dhagahamu akkamitti warabama pls,Neutral,1
7642,Eessaa argannaree,Neutral,1
2294,magal boqoji kotuu,Neutral,1
7397,Kanaa qofaa yeroo meqaa barreessaa oltuu?,Neutral,1
4701,mashaallah mashaallah alhamduillaa rabbnii ustzii keenn nuufli heeguu ❤❤❤❤❤❤❤❤❤❤❤,Positive,2
7487,Dr 18 fi 11 kun eessaa dhufan lakkofsonni kun,Neutral,1
3208,dhuga jette,Positive,2
5892,Jawween ni kassare. Kana hunda kan itti fidemmoo xawalwaallee ta'ee iddoo sagal dhaabachuu isaati. Naamusa hin qabu KG galuu qaba,Negative,0
